sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	temp	title
11760.b.O9703.A	O9703.A	2015-05-27 15:00	School O, classroom 97, desk, 1 day post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.991	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.b.O9706.A	O9706.A	2015-06-15 15:06	School O, classroom 97, desk, 21 days post-cleaning	TRUE	72.045	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	O	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.680	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B2001.A	B2001.A	2015-05-26 06:00	School B, classroom 2, desk, Pre-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.469	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B2003.A	B2003.A	2015-05-27 06:30	School B, classroom 2, desk, 1 day post-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.158	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B2901.A	B2901.A	2015-05-26 07:40	School B, classroom 29, desk, Pre-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.901	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B2903.A	B2903.A	2015-05-27 06:54	School B, classroom 29, desk, 1 day post-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.158	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B4001.A	B4001.A	2015-05-26 07:06	School B, classroom 4, desk, Pre-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.823	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.B4003.A	B4003.A	2015-05-27 06:40	School B, classroom 4, desk, 1 day post-cleaning	TRUE	201.781	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	B	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	22.206	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2941.A	H2941.A	2015-05-26 17:05	School H, classroom 294, desk, Pre-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	23.453	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
11760.f.H2943.A	H2943.A	2015-05-27 15:55	School H, classroom 294, desk, 1 day post-cleaning	TRUE	105.158	Free-living	Non-saline	Surface (non-saline)	Rural biome	anthropogenic habitat	anthropogenic environmental material	built environment	USA:CT	H	restricted access	restricted access	YALE PECCIA LAB	TRUE	11760	desk surface	indoor metagenome	1256227	21.155	The Reestablishment of Microbial Communities after Surface Cleaning in Schools
