sample_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	kdday	kdexperiment	kdtreatment1	kdtreatment2	latitude	longitude	mouse_strain	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title
11566.S20	2018	SPFCDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_2	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S21	2018	SPFCDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay14_3	10090	14	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S22	2018	SPFKDDay14_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_1	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S23	2018	SPFKDDay14_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_2	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S24	2018	SPFKDDay14_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay14_3	10090	14	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S28	2018	SPFCDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_1	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S29	2018	SPFCDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_2	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S3	2018	SPFCDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_3	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S30	2018	SPFCDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_3	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S31	2018	SPFKDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_1	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S32	2018	SPFKDDay0_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_2	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S33	2018	SPFKDDay0_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay0_3	10090	0	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S34	2018	SPFCDDay4_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_1	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S35	2018	SPFCDDay4_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_2	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S36	2018	SPFCDDay4_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay4_3	10090	4	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
